Order,Artist(s),Album,Type,Release Date,Cover Art,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
124,Nas,Illmatic,album,1994-04-19,https://i.scdn.co/image/ab67616d0000b273045fc920ecf4f8094888ec26,75,0.13973,0.7131,0.7766,0.00431,0.206,-5.6282,0.2484,89.5589,0.624
125,Migos,Culture,album,2017-01-27,https://i.scdn.co/image/ab67616d0000b2736275aeac316378b0dd4f31fd,75,0.16883,0.82762,0.69746,0.0,0.16015,-5.00485,0.18355,133.07754,0.44338
126,Ella Mai,Heart On My Sleeve,album,2022-05-06,https://i.scdn.co/image/ab67616d0000b273e8986406dc339143b253b280,69,0.27669,0.60147,0.5656,0.00039,0.22413,-6.1052,0.15009,116.86453,0.33691
127,Jack Harlow,Come Home The Kids Miss You,album,2022-05-06,https://i.scdn.co/image/ab67616d0000b2738e55edb69ca44a25b52b17bb,81,0.16857,0.7856,0.5366,0.01186,0.17611,-7.42753,0.17772,111.47807,0.50267
128,Arctic Monkeys,AM,album,2013-09-09,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,93,0.13447,0.53767,0.63892,0.03729,0.16954,-7.09892,0.03952,112.97842,0.60183
129,Ms. Lauryn Hill,The Miseducation of Lauryn Hill,album,1998-08-25,https://i.scdn.co/image/ab67616d0000b273e08b1250db5f75643f1508c9,77,0.21771,0.61113,0.5945,0.00067,0.17749,-9.64806,0.24391,101.52881,0.65625
130,IDK,Simple.,album,2022-05-06,https://i.scdn.co/image/ab67616d0000b273e96fd4e6489a84143ef9f34a,51,0.21727,0.63025,0.74388,0.01251,0.47286,-7.93238,0.19156,96.1555,0.61913
131,Nardo Wick,Who is Nardo Wick?,album,2021-12-03,https://i.scdn.co/image/ab67616d0000b27304791a385c035c1642c80b8f,75,0.01492,0.70644,0.557,0.00072,0.20967,-8.23689,0.30101,135.63028,0.29816
132,Kendrick Lamar,To Pimp A Butterfly,album,2015-03-16,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1,81,0.32289,0.59075,0.70763,1e-05,0.31842,-5.80206,0.29418,103.44456,0.48719
133,Kendrick Lamar,Mr. Morale & The Big Steppers,album,2022-05-13,https://i.scdn.co/image/ab67616d0000b273f30764d5fa1e439ad6a7742f,14,0.49778,0.629,0.564,0.00078,0.16059,-9.02067,0.24016,122.89961,0.51083
134,Tierra Whack,R&B?,single,2021-12-16,https://i.scdn.co/image/ab67616d0000b273cd6660cb55c09a195ed326ac,36,0.58967,0.73867,0.26967,0.0026,0.10433,-9.78833,0.336,115.88,0.42633
135,42 Dugg,Young & Turnt 2,album,2020-03-27,https://i.scdn.co/image/ab67616d0000b2730cd041fef7995e94b291b195,62,0.05272,0.76543,0.714,0.0,0.17356,-4.64857,0.28264,125.24643,0.46971
136,Soccer Mommy,color theory,album,2020-02-28,https://i.scdn.co/image/ab67616d0000b273c330e261afcd6e0ae256f3aa,56,0.54348,0.477,0.5483,0.03723,0.17452,-7.7373,0.03067,127.765,0.36386
137,Metallica,Ride The Lightning (Remastered),album,1984-07-27,https://i.scdn.co/image/ab67616d0000b273b09e5084136821bf64d327f4,58,0.00416,0.30412,0.94825,0.32995,0.12156,-6.26925,0.13004,127.23512,0.23375
